Filename,YouTube Title,Description,Playlist,Visibility
2026-07-15_AnyrvaanIndex_Ch01_FirstWords.mp4,Text and Titles Appearing On Screen | ANYRVAAN Animations #1,"A three-minute reel of small animations, all about things arriving on screen — words, titles and shapes sliding, fading and snapping into place. The kind of motion you see in apps and videos every day, made with code. Part one of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch02_ThePulse.mp4,Counting Numbers and Filling Bars | ANYRVAAN Animations #2,"Three minutes of numbers ticking up, bars filling, and meters moving in rhythm — the little animations that make data feel alive. Part two of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch03_GlassHouses.mp4,App Screens and Dashboards in Motion | ANYRVAAN Animations #3,"A reel of animated app screens, dashboards and buttons. The ideas here later grew into a short film called Dashboard Cinema. Part three of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch04_DrawnByHand.mp4,Hand-Drawn, Inky and Printed Looks | ANYRVAAN Animations #4,"Three minutes of animation that looks drawn, inked and printed by hand rather than made on a computer. Part four of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch05_GravitySprings.mp4,Bouncy, Springy Motion with Weight | ANYRVAAN Animations #5,"Animations that move like they have real weight — things bouncing, springing and settling, the way real objects do. Part five of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch06_DeepSpace.mp4,Stars, Space and Orbits | ANYRVAAN Animations #6,"A reel full of starfields, orbits and the feeling of deep space and distance. Part six of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch07_LightGhosts.mp4,Glowing and Fading Light | ANYRVAAN Animations #7,"Three minutes of glowing, fading, ghostly light — animations about things that shine and then disappear. Part seven of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch08_SacredGeometry.mp4,Patterns and Sacred Geometry | ANYRVAAN Animations #8,"Repeating patterns and sacred geometry, moving. This is the idea that grew into a whole calmer series of its own. Part eight of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch09_WorkingMetaphors.mp4,Business Ideas as Little Moving Pictures | ANYRVAAN Animations #9,"Everyday business ideas — money, deals, growth — drawn as simple moving pictures instead of charts. Part nine of ten.",ANYRVAAN Animations,Public
2026-07-15_AnyrvaanIndex_Ch10_LivingLedger.mp4,The Finale: Everything Flows Together | ANYRVAAN Animations #10,"The last of the ten reels, where all the earlier styles come together and resolve. Part ten of ten.",ANYRVAAN Animations,Public
